-----------------------------------------------------------------------
| Name       | Start Time        | End Time | Total Time | Activity   |
| AS         | 14:00 2017-05-06  | 16:00    |   2hr      | ER, tables |
| AS, ED     | 11:00 2017-05-08  | 12:00    |   1hr      | lab        |
| AS         | 09:30 2017-05-09  | 17:30    |   8hr      | home page  |
| AS         | 21:00 2017-05-09  | 00:30    | 3.5hr      | newPet     |
| ALL        | 11:00 2017-05-10  | 12:00    |   1hr      | lab        |
| AS         | 12:00 2017-05-11  | 15:00    |   3hr      | UI         |
| ALL        | 16:00 2017-05-11  | 18:00    |   2hr      | meeting    |
| ALL        | 11:00 2017-05-12  | 12:00    |   1hr      | lab        |
| ED, JM     | 11:00 2017-05-15  | 12:00    |   1hr      | lab        |
| ALL        | 16:00 2017-05-16  | 17:30    | 1.5hr      | meeting    |
| ED, MH, AS | 11:00 2017-05-17  | 12:00    |   1hr      | lab        |
| AS         | 13:00 2017-05-17  | 17:00    |   4hr      | bugfixes   |
| AS         | 18:00 2017-05-17  | 19:00    |   1hr      | add animal |
-----------------------------------------------------------------------
